Quarter,Ticker,Net Profit Margin %,Operating Margin %,EPS (Basic),P/E Ratio,Return on Equity,EBITDA Margin %,Debt to Equity Ratio,Current Ratio,Working Capital Turnover,USD Exchange Rate,FDI:GDP %,GDP Growth %,Sectoral IIP,Sectoral IIP (Growth Rate),Inflation,Interest Rate,Next Quarter Adj Close,Inter Quarter Gain %
Q1-16,ASHOKLEY.ns,6.963,22.781,1.02,104.706,5.378,10.758,0.341,1.059,14.361,66.891,1.33,8.68,126.467,7.601,5.667,6.5,67.81633759,-8.26
Q2-16,ASHOKLEY.ns,6.538,24.22,1.03,92.476,5.445,9.961,0.341,1.059,15.487,66.962,3.084,9.67,123.033,7.048,5.163,6.5,77.3276825,14.03
Q3-16,ASHOKLEY.ns,4.288,21.116,0.65,138.846,3.438,6.8,0.341,1.059,14.909,67.425,2.889,8.58,121.433,-3.009,3.749,6.25,80.61186981,4.25
Q4-16,ASHOKLEY.ns,7.195,21.846,1.63,55.675,7.773,9.877,0.22,0.931,-14.884,67.011,1.898,6.29,128.967,-7.683,3.569,6.25,91.36012268,13.33
Q1-17,ASHOKLEY.ns,2.625,20.238,0.38,224.737,1.816,5.011,0.22,0.931,-9.531,64.458,2.079,6.11,128.733,1.792,2.202,6.25,102.0441818,11.69
Q2-17,ASHOKLEY.ns,5.528,20.788,1.14,96.053,5.456,8.704,0.22,0.931,-13.6,64.288,2.954,5.32,126.067,2.465,2.976,6,122.5222702,20.07
Q3-17,ASHOKLEY.ns,6.322,21.644,1.54,85.195,7.341,9.719,0.22,0.931,-15.998,64.729,1.18,6.67,131.767,8.509,4.555,6,128.1938171,4.63
Q4-17,ASHOKLEY.ns,7.608,22.93,2.28,55.307,9.211,10.762,0.085,0.914,-11.603,64.344,1.575,8.93,139.7,15.966,4.594,6,111.7420578,-12.83
Q1-18,ASHOKLEY.ns,5.921,22.496,1.26,130.516,5.108,8.872,0.085,0.914,-8.267,66.99,2.6,7.56,139.7,8.323,4.791,6.25,100.9765778,-9.63
Q2-18,ASHOKLEY.ns,7.055,20.973,1.8,62.667,7.284,9.472,0.085,0.914,-9.894,70.152,2.065,6.49,137.3,6.655,3.854,6.5,77.74343109,-23.01
Q3-18,ASHOKLEY.ns,6.098,21.967,1.3,88.231,5.256,8.163,0.085,0.914,-8.261,72.073,2.141,6.33,141.833,12.507,2.604,6.5,79.85553741,2.72
Q4-18,ASHOKLEY.ns,7.486,20.837,2.22,36.622,7.837,9.57,0.048,0.931,-14.474,70.478,1.856,5.84,147.9,12.244,2.465,6.25,57.92559433,-27.46
Q1-19,ASHOKLEY.ns,4.102,21.284,0.78,111.474,2.763,7.01,0.048,0.931,-9.312,69.546,3.369,5.39,140.2,0.358,3.072,5.75,77.22145844,33.31
Q2-19,ASHOKLEY.ns,1.005,19.954,0.13,537.308,0.466,2.948,0.048,0.931,-6.419,70.429,2.064,4.61,132.8,-3.277,3.473,5.4,68.19683075,-11.69
Q3-19,ASHOKLEY.ns,0.698,19.664,0.09,852.778,0.333,2.266,0.048,0.931,-6.593,71.228,2.618,3.28,136.933,-3.455,5.835,5.15,41.4156723,-39.27
Q4-19,ASHOKLEY.ns,-1.493,18.231,-0.2,-409.75,-0.789,0.775,0.422,0.775,-2.436,72.384,2.877,3.01,136.433,-7.753,6.668,4.4,66.51931763,60.61
Q1-14,BHARTIARTL.ns,5.096,77.377,2.77,108.739,1.958,16.042,1.27,0.394,-0.667,59.797,1.956,8.02,117.9,5.803,7.85,8,337.0278625,4.32
Q2-14,BHARTIARTL.ns,5.889,77.937,3.46,98.956,2.251,16.863,1.27,0.394,-0.664,60.606,2.088,8.7,114.733,5.389,6.675,8,313.1370544,-7.09
Q3-14,BHARTIARTL.ns,5.708,78.617,3.59,102.023,2.218,17.161,1.27,0.394,-0.675,61.933,1.797,5.92,116.6,8.836,4.051,8,375.2002563,19.82
Q4-14,BHARTIARTL.ns,4.666,78.176,3.14,109.275,2.7,18.562,1.758,0.333,-0.523,62.238,2.345,7.11,118.567,0.339,5.272,7.5,312.3436279,-16.75
Q1-15,BHARTIARTL.ns,9.381,77.842,5.29,66.147,5.582,17.718,1.758,0.333,-0.538,63.471,2.663,7.59,120.467,2.177,5.092,7.25,296.3760071,-5.11
Q2-15,BHARTIARTL.ns,5.819,77.004,3.84,100.139,3.487,16.829,1.758,0.333,-0.542,64.975,1.915,8.03,117.533,2.44,3.949,6.75,279.6668701,-5.64
Q3-15,BHARTIARTL.ns,4.079,76.885,2.77,115.7,2.468,17.025,1.758,0.333,-0.547,65.924,3.235,7.2,114.933,-1.429,5.339,6.75,311.4895325,11.38
Q4-15,BHARTIARTL.ns,4.958,75.734,3.3,80.661,1.853,17.306,1.504,0.39,-0.697,67.504,2.531,9.09,125.2,5.595,5.259,6.75,293.9825439,-5.62
Q1-16,BHARTIARTL.ns,4.812,75.933,3.66,91.216,1.841,17.749,1.504,0.39,-0.713,66.891,1.33,8.68,126.467,7.601,5.667,6.5,288.846344,-1.75
Q2-16,BHARTIARTL.ns,5.458,75.511,3.66,90.827,2.015,18.272,1.504,0.39,-0.688,66.962,3.084,9.67,123.033,7.048,5.163,6.5,324.9298096,12.49
Q3-16,BHARTIARTL.ns,1.722,74.755,1.26,232.35,0.602,15.969,1.504,0.39,-0.652,67.425,2.889,8.58,121.433,-3.009,3.749,6.25,330.6249084,1.75
Q4-16,BHARTIARTL.ns,1.002,72.684,0.93,343.774,0.326,13.298,1.521,0.287,-0.485,67.011,1.898,6.29,128.967,-7.683,3.569,6.25,380.5901794,15.11
Q1-17,BHARTIARTL.ns,1.513,73.432,0.92,354.796,0.492,13.769,1.521,0.287,-0.485,64.458,2.079,6.11,128.733,1.792,2.202,6.25,442.8622437,16.36
Q2-17,BHARTIARTL.ns,1.01,73.843,0.86,447.292,0.326,14.966,1.521,0.287,-0.481,64.288,2.954,5.32,126.067,2.465,2.976,6,382.2915344,-13.68
Q3-17,BHARTIARTL.ns,1.649,71.474,0.77,592.881,0.497,13.292,1.521,0.287,-0.449,64.729,1.18,6.67,131.767,8.509,4.555,6,335.3949585,-12.27
Q4-17,BHARTIARTL.ns,1.199,69.981,0.21,1923.146,0.339,10.631,1.408,0.428,-0.439,64.344,1.575,8.93,139.7,15.966,4.594,6,344.5968018,2.74
Q1-18,BHARTIARTL.ns,1.587,69.136,0.23,1634.956,0.452,8.467,1.408,0.428,-0.443,66.99,2.6,7.56,139.7,8.323,4.791,6.25,283.2485962,-17.8
Q2-18,BHARTIARTL.ns,0.426,69.363,0.28,1280.859,0.124,4.809,1.408,0.428,-0.45,70.152,2.065,6.49,137.3,6.655,3.854,6.5,289.7132568,2.28
Q3-18,BHARTIARTL.ns,1.912,68.686,0.22,1220.134,0.564,3.612,1.408,0.428,-0.459,72.073,2.141,6.33,141.833,12.507,2.604,6.5,346.0368652,19.44
Q4-18,BHARTIARTL.ns,2.618,68.759,0.27,1041.962,0.755,5.761,1.69,0.353,-0.343,70.478,1.856,5.84,147.9,12.244,2.465,6.25,344.0527344,-0.57
Q1-19,BHARTIARTL.ns,-11.086,63.242,-6.18,-51.828,-3.219,8.414,1.69,0.353,-0.345,69.546,3.369,5.39,140.2,0.358,3.072,5.75,438.9450073,27.58
Q2-19,BHARTIARTL.ns,-109.532,62.702,-44.92,-7.516,-32.407,9.322,1.69,0.353,-0.351,70.429,2.064,4.61,132.8,-3.277,3.473,5.4,519.3529663,18.32
Q3-19,BHARTIARTL.ns,-1.424,63.977,-2.02,-185.272,-0.438,12.23,1.69,0.353,-0.365,71.228,2.618,3.28,136.933,-3.455,5.835,5.15,548.2224121,5.56
Q4-19,BHARTIARTL.ns,-20.594,65.912,-9.69,-51.233,-6.333,14.301,1.525,0.583,-0.433,72.384,2.877,3.01,136.433,-7.753,6.668,4.4,509.0353088,-7.15
Q1-14,CONCOR.ns,20.626,97.458,13.43,22.916,3.749,26.149,0,4.539,0.489,59.797,1.956,8.02,117.9,5.803,7.85,8,384.3091431,2.42
Q2-14,CONCOR.ns,14.163,96.504,9.84,42.478,2.747,18.907,0,4.539,0.522,60.606,2.088,8.7,114.733,5.389,6.675,8,443.4686584,15.39
Q3-14,CONCOR.ns,20.739,97.179,15.44,28.017,4.31,24.684,0,4.539,0.559,61.933,1.797,5.92,116.6,8.836,4.051,8,523.4671021,18.04
Q4-14,CONCOR.ns,19.547,97.508,15.02,29.795,3.833,23.243,0,4.336,0.568,62.238,2.345,7.11,118.567,0.339,5.272,7.5,408.5250549,-21.96
Q1-15,CONCOR.ns,14.592,97.401,10.63,49.392,2.714,19.539,0,4.336,0.539,63.471,2.663,7.59,120.467,2.177,5.092,7.25,403.7076721,-1.18
Q2-15,CONCOR.ns,15.428,97.419,11.88,44.224,3.034,20.772,0,4.336,0.569,64.975,1.915,8.03,117.533,2.44,3.949,6.75,333.3249817,-17.43
Q3-15,CONCOR.ns,14.644,97.124,10.55,40.194,2.693,19.453,0,4.336,0.533,65.924,3.235,7.2,114.933,-1.429,5.339,6.75,417.0862732,25.13
Q4-15,CONCOR.ns,19.196,97.444,12.56,30.238,3.669,27.923,0,1.932,2.54,67.504,2.531,9.09,125.2,5.595,5.259,6.75,404.1886902,-3.09
Q1-16,CONCOR.ns,13.327,97.161,9.15,47.313,2.139,18.444,0,1.932,2.132,66.891,1.33,8.68,126.467,7.601,5.667,6.5,339.1062622,-16.1
Q2-16,CONCOR.ns,11.449,97.064,8.1,59.255,1.891,15.795,0,1.932,2.195,66.962,3.084,9.67,123.033,7.048,5.163,6.5,353.8106384,4.34
Q3-16,CONCOR.ns,13.98,96.889,9.54,46.14,2.229,19.016,0,1.932,2.118,67.425,2.889,8.58,121.433,-3.009,3.749,6.25,433.8396606,22.62
Q4-16,CONCOR.ns,21.549,95.699,13.77,27.549,3.795,29.946,0,3.417,0.841,67.011,1.898,6.29,128.967,-7.683,3.569,6.25,493.5570984,13.76
Q1-17,CONCOR.ns,16.706,96.923,9.99,48.763,2.751,22.315,0,3.417,0.786,64.458,2.079,6.11,128.733,1.792,2.202,6.25,489.1073608,-0.9
Q2-17,CONCOR.ns,15.588,96.284,9.15,50.004,2.52,19.618,0,3.417,0.772,64.288,2.954,5.32,126.067,2.465,2.976,6,490.2820129,0.24
Q3-17,CONCOR.ns,17.632,93.954,11.86,46.622,3.268,25.541,0,3.417,0.885,64.729,1.18,6.67,131.767,8.509,4.555,6,522.1771851,6.51
Q4-17,CONCOR.ns,17.898,95.074,12.05,46.151,3.133,22.452,0,2.974,0.77,64.344,1.575,8.93,139.7,15.966,4.594,6,493.6460266,-5.46
